date,day,month,year,pm_2_5
2022-08-29,29,8,2022,4.748295914080834
2022-08-30,30,8,2022,8.846794399628699
2022-08-31,31,8,2022,9.451542798297869
2022-09-01,1,9,2022,10.332453679751834
2022-09-02,2,9,2022,8.222304777429676
2022-09-03,3,9,2022,2.6375629264525178
2022-09-04,4,9,2022,2.9965533873164723
2022-09-05,5,9,2022,5.182566722851074
2022-09-06,6,9,2022,9.43327627998754
2022-09-07,7,9,2022,6.724692337783024
2022-09-08,8,9,2022,5.109495559476471
2022-09-09,9,9,2022,6.7882451905056245
2022-09-10,10,9,2022,9.39407491157992
2022-09-11,11,9,2022,10.571264920547646
2022-09-12,12,9,2022,11.071486749318863
2022-09-13,13,9,2022,9.96897249204329
2022-09-14,14,9,2022,9.438920049062109
2022-09-15,15,9,2022,8.030580941333273
2022-09-16,16,9,2022,8.404004456209535
2022-09-17,17,9,2022,6.234627948740391
2022-09-18,18,9,2022,5.972296323538223
2022-09-19,19,9,2022,5.550952115478523
2022-09-20,20,9,2022,8.32699485250834
2022-09-21,21,9,2022,5.848532981955442
2022-09-22,22,9,2022,5.098827677828166
2022-09-23,23,9,2022,6.171872325867116
2022-09-24,24,9,2022,3.9666762167669054
2022-09-25,25,9,2022,6.861647895781155
2022-09-26,26,9,2022,9.128095998577905
2022-09-27,27,9,2022,11.82813011599835
2022-09-28,28,9,2022,7.395865385398723
2022-09-29,29,9,2022,4.048691754872704
2022-09-30,30,9,2022,5.067125344076109
2022-10-01,1,10,2022,3.9001578019698746
2022-10-02,2,10,2022,5.171055440790567
2022-10-03,3,10,2022,4.558527178427899
2022-10-04,4,10,2022,5.734454376335586
2022-10-05,5,10,2022,6.031257813590953
2022-10-06,6,10,2022,4.691825895144738
2022-10-07,7,10,2022,5.001219891082499
2022-10-08,8,10,2022,6.524841137905769
2022-10-09,9,10,2022,6.110133978689963
2022-10-10,10,10,2022,6.745603087842511
2022-10-11,11,10,2022,7.401462764406551
2022-10-12,12,10,2022,6.395045225535653
2022-10-13,13,10,2022,7.029627918212016
2022-10-14,14,10,2022,6.585589062320802
2022-10-15,15,10,2022,6.129877149464704
2022-10-16,16,10,2022,1.7485603493245507
2022-10-17,17,10,2022,4.23927502967325
2022-10-18,18,10,2022,4.195147425349445
2022-10-19,19,10,2022,4.22656006621315
2022-10-20,20,10,2022,4.8437698582589785
2022-10-21,21,10,2022,5.329618643607698
2022-10-22,22,10,2022,6.494195482849073
2022-10-23,23,10,2022,5.185493888491317
2022-10-24,24,10,2022,3.86294651313779
2022-10-25,25,10,2022,7.237681733432781
2022-10-26,26,10,2022,5.757736421831635
2022-10-27,27,10,2022,10.867960500819738
2022-10-28,28,10,2022,14.738369027948396
2022-10-29,29,10,2022,12.520950934094818
2022-10-30,30,10,2022,6.207458606302457
2022-10-31,31,10,2022,9.73487986555595
